2021-08-22 11:41:53,094 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2021-08-22 11:41:53,122 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2021-08-22 11:41:53,123 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2021-08-22 11:41:53,123 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2021-08-22 11:41:53,124 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2021-08-22 11:41:53,125 INFO  SwAddin.cs: 197 - Setting up callbacks
2021-08-22 11:41:53,125 INFO  SwAddin.cs: 201 - Setting up command manager
2021-08-22 11:41:53,125 INFO  SwAddin.cs: 204 - Adding command manager
2021-08-22 11:41:53,127 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2021-08-22 11:41:53,128 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2021-08-22 11:41:53,128 INFO  SwAddin.cs: 210 - Adding event handlers
2021-08-22 11:41:53,255 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2021-08-22 15:05:36,526 INFO  SwAddin.cs: 294 - Assembly export called for file 000-Arena2.0.SLDASM
2021-08-22 15:05:37,897 INFO  SwAddin.cs: 313 - Saving assembly
2021-08-22 15:05:39,450 INFO  SwAddin.cs: 316 - Opening property manager
2021-08-22 15:05:39,460 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 000-Arena2.0.SLDASM
2021-08-22 15:05:39,487 INFO  ExportHelperExtension.cs: 1136 - Found 463 in 000-Arena2.0.SLDASM
2021-08-22 15:05:39,488 INFO  ExportHelperExtension.cs: 1145 - Found 8 features of type [CoordSys] in 000-Arena2.0.SLDASM
2021-08-22 15:05:39,488 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-08-22 15:05:39,490 INFO  ExportHelperExtension.cs: 1160 - 123 components to check
2021-08-22 15:05:39,491 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from cross recessed countersunk head screws gb1-108
2021-08-22 15:05:39,491 INFO  ExportHelperExtension.cs: 1136 - Found 39 in cross recessed countersunk head screws gb1-108
2021-08-22 15:05:39,492 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in cross recessed countersunk head screws gb1-108
2021-08-22 15:05:39,492 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from hex nuts, style 1-grades ab gb-64
2021-08-22 15:05:39,492 INFO  ExportHelperExtension.cs: 1136 - Found 35 in hex nuts, style 1-grades ab gb-64
2021-08-22 15:05:39,497 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in hex nuts, style 1-grades ab gb-64
2021-08-22 15:05:39,497 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from hex nuts, style 1-grades ab gb-68
2021-08-22 15:05:39,497 INFO  ExportHelperExtension.cs: 1136 - Found 35 in hex nuts, style 1-grades ab gb-68
